FilePath,PlotSize,FloorLevel,PlanType,FP_Number,Version,ImageWidth,ImageHeight,TotalPixels,TotalAreaSqFt,Count_Backyard,Count_Bathroom,Count_Bedroom,Count_Dining,Count_DrawingRoom,Count_DressingArea,Count_Garage,Count_Kitchen,Count_Laundry,Count_Lawn,Count_Lobby,Count_Lounge,Count_OpenSpace,Count_Passage,Count_PrayerRoom,Count_ServantQuarter,Count_SideGarden,Count_Staircase,Count_Stairs,Count_Store,Total_Backyard_SqFt,Total_Bathroom_SqFt,Total_Bedroom_SqFt,Total_Dining_SqFt,Total_DrawingRoom_SqFt,Total_DressingArea_SqFt,Total_Garage_SqFt,Total_Kitchen_SqFt,Total_Laundry_SqFt,Total_Lawn_SqFt,Total_Lobby_SqFt,Total_Lounge_SqFt,Total_OpenSpace_SqFt,Total_Passage_SqFt,Total_PrayerRoom_SqFt,Total_ServantQuarter_SqFt,Total_SideGarden_SqFt,Total_Staircase_SqFt,Total_Stairs_SqFt,Total_Store_SqFt,Backyard1_SqFt,Bathroom1_SqFt,Bathroom2_SqFt,Bathroom3_SqFt,Bathroom4_SqFt,Bedroom1_SqFt,Bedroom2_SqFt,Bedroom3_SqFt,Dining1_SqFt,DrawingRoom1_SqFt,DrawingRoom2_SqFt,DressingArea1_SqFt,DressingArea2_SqFt,DressingArea3_SqFt,Garage1_SqFt,Garage2_SqFt,Kitchen1_SqFt,Kitchen2_SqFt,Laundry1_SqFt,Lawn1_SqFt,Lawn2_SqFt,Lobby1_SqFt,Lobby2_SqFt,Lounge1_SqFt,OpenSpace10_SqFt,OpenSpace11_SqFt,OpenSpace12_SqFt,OpenSpace13_SqFt,OpenSpace14_SqFt,OpenSpace15_SqFt,OpenSpace16_SqFt,OpenSpace17_SqFt,OpenSpace18_SqFt,OpenSpace19_SqFt,OpenSpace1_SqFt,OpenSpace20_SqFt,OpenSpace21_SqFt,OpenSpace22_SqFt,OpenSpace23_SqFt,OpenSpace24_SqFt,OpenSpace25_SqFt,OpenSpace26_SqFt,OpenSpace27_SqFt,OpenSpace28_SqFt,OpenSpace29_SqFt,OpenSpace2_SqFt,OpenSpace30_SqFt,OpenSpace31_SqFt,OpenSpace32_SqFt,OpenSpace33_SqFt,OpenSpace34_SqFt,OpenSpace35_SqFt,OpenSpace36_SqFt,OpenSpace37_SqFt,OpenSpace38_SqFt,OpenSpace39_SqFt,OpenSpace3_SqFt,OpenSpace40_SqFt,OpenSpace41_SqFt,OpenSpace42_SqFt,OpenSpace43_SqFt,OpenSpace44_SqFt,OpenSpace45_SqFt,OpenSpace46_SqFt,OpenSpace47_SqFt,OpenSpace48_SqFt,OpenSpace49_SqFt,OpenSpace4_SqFt,OpenSpace50_SqFt,OpenSpace51_SqFt,OpenSpace52_SqFt,OpenSpace53_SqFt,OpenSpace54_SqFt,OpenSpace55_SqFt,OpenSpace56_SqFt,OpenSpace57_SqFt,OpenSpace58_SqFt,OpenSpace59_SqFt,OpenSpace5_SqFt,OpenSpace60_SqFt,OpenSpace61_SqFt,OpenSpace62_SqFt,OpenSpace63_SqFt,OpenSpace64_SqFt,OpenSpace65_SqFt,OpenSpace66_SqFt,OpenSpace67_SqFt,OpenSpace68_SqFt,OpenSpace69_SqFt,OpenSpace6_SqFt,OpenSpace70_SqFt,OpenSpace7_SqFt,OpenSpace8_SqFt,OpenSpace9_SqFt,Passage1_SqFt,Passage2_SqFt,Passage3_SqFt,Passage4_SqFt,PrayerRoom1_SqFt,PrayerRoom2_SqFt,ServantQuarter1_SqFt,SideGarden1_SqFt,Staircase1_SqFt,Stairs10_SqFt,Stairs11_SqFt,Stairs12_SqFt,Stairs13_SqFt,Stairs14_SqFt,Stairs15_SqFt,Stairs16_SqFt,Stairs17_SqFt,Stairs18_SqFt,Stairs19_SqFt,Stairs1_SqFt,Stairs20_SqFt,Stairs21_SqFt,Stairs22_SqFt,Stairs23_SqFt,Stairs24_SqFt,Stairs25_SqFt,Stairs26_SqFt,Stairs27_SqFt,Stairs28_SqFt,Stairs29_SqFt,Stairs2_SqFt,Stairs30_SqFt,Stairs31_SqFt,Stairs32_SqFt,Stairs33_SqFt,Stairs34_SqFt,Stairs35_SqFt,Stairs36_SqFt,Stairs37_SqFt,Stairs38_SqFt,Stairs3_SqFt,Stairs4_SqFt,Stairs5_SqFt,Stairs6_SqFt,Stairs7_SqFt,Stairs8_SqFt,Stairs9_SqFt,Store1_SqFt,Store2_SqFt
10Marla_GF_FP_001_V01.png,10Marla,GF,FP,001,V01,849,1570,1226366,2275,,2,1,,1.0,,1,1,,1.0,1.0,1.0,,1.0,,,,,14,,,105.95,266.53,,190.2,,367.39,167.62,,228.93,66.79,376.75,,292.04,,,,,30.92,,,74.09,31.86,,,266.53,,,,190.2,,,,,367.39,,167.62,,,228.93,,66.79,,376.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.04,,,,,,,,,1.33,1.1,1.07,1.04,1.01,,,,,,8.9,,,,,,,,,,,2.74,,,,,,,,,,2.24,2.24,2.24,2.24,2.09,1.33,1.33,,
10Marla_GF_FP_001_V02.png,10Marla,GF,FP,001,V02,849,1570,1226366,2275,,2,1,,1.0,,1,1,,1.0,1.0,1.0,,1.0,,,,,14,,,105.95,266.53,,190.2,,367.39,167.62,,228.93,66.79,376.75,,292.04,,,,,30.92,,,74.09,31.86,,,266.53,,,,190.2,,,,,367.39,,167.62,,,228.93,,66.79,,376.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.04,,,,,,,,,1.33,1.1,1.07,1.04,1.01,,,,,,8.9,,,,,,,,,,,2.74,,,,,,,,,,2.24,2.24,2.24,2.24,2.09,1.33,1.33,,
10Marla_GF_FP_001_V03.png,10Marla,GF,FP,001,V03,849,1570,1226366,2275,,2,1,,1.0,,1,1,,1.0,1.0,1.0,,1.0,,,,,14,,,105.95,266.53,,190.2,,367.39,167.62,,228.93,66.79,376.75,,292.04,,,,,30.92,,,74.09,31.86,,,266.53,,,,190.2,,,,,367.39,,167.62,,,228.93,,66.79,,376.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.04,,,,,,,,,1.33,1.1,1.07,1.04,1.01,,,,,,8.9,,,,,,,,,,,2.74,,,,,,,,,,2.24,2.24,2.24,2.24,2.09,1.33,1.33,,
10Marla_GF_FP_001_V04.png,10Marla,GF,FP,001,V04,849,1570,1226366,2275,,2,1,,1.0,,1,1,,1.0,1.0,1.0,,1.0,,,,,14,,,105.95,266.53,,190.2,,367.39,167.62,,228.93,66.79,376.75,,292.04,,,,,30.92,,,74.09,31.86,,,266.53,,,,190.2,,,,,367.39,,167.62,,,228.93,,66.79,,376.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.04,,,,,,,,,1.33,1.1,1.07,1.04,1.01,,,,,,8.9,,,,,,,,,,,2.74,,,,,,,,,,2.24,2.24,2.24,2.24,2.09,1.33,1.33,,
10Marla_GF_FP_002_V01.png,10Marla,GF,FP,002,V01,849,1570,1220516,2275,,3,2,,1.0,,1,1,,,1.0,1.0,,1.0,,,,,6,,,152.5,351.53,,226.49,,467.49,91.06,,,110.73,334.46,,339.23,,,,,9.64,,,57.62,55.37,39.5,,236.96,114.57,,,226.49,,,,,467.49,,91.06,,,,,110.73,,334.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.23,,,,,,,,,,,,,,,,,,,2.51,,,,,,,,,,,2.49,,,,,,,,,,1.16,1.16,1.16,1.16,,,,,
10Marla_GF_FP_002_V02.png,10Marla,GF,FP,002,V02,849,1570,1220516,2275,,3,2,,1.0,,1,1,,,1.0,1.0,,1.0,,,,,6,,,152.5,351.53,,226.49,,467.49,91.06,,,110.73,334.46,,339.23,,,,,9.64,,,57.62,55.37,39.5,,236.96,114.57,,,226.49,,,,,467.49,,91.06,,,,,110.73,,334.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.23,,,,,,,,,,,,,,,,,,,2.51,,,,,,,,,,,2.49,,,,,,,,,,1.16,1.16,1.16,1.16,,,,,
10Marla_GF_FP_002_V03.png,10Marla,GF,FP,002,V03,849,1570,1220516,2275,,3,2,,1.0,,1,1,,,1.0,1.0,,1.0,,,,,6,,,152.5,351.53,,226.49,,467.49,91.06,,,110.73,334.46,,339.23,,,,,9.64,,,57.62,55.37,39.5,,236.96,114.57,,,226.49,,,,,467.49,,91.06,,,,,110.73,,334.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.23,,,,,,,,,,,,,,,,,,,2.51,,,,,,,,,,,2.49,,,,,,,,,,1.16,1.16,1.16,1.16,,,,,
10Marla_GF_FP_002_V04.png,10Marla,GF,FP,002,V04,849,1570,1220516,2275,,3,2,,1.0,,1,1,,,1.0,1.0,,1.0,,,,,6,,,152.5,351.53,,226.49,,467.49,91.06,,,110.73,334.46,,339.23,,,,,9.64,,,57.62,55.37,39.5,,236.96,114.57,,,226.49,,,,,467.49,,91.06,,,,,110.73,,334.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.23,,,,,,,,,,,,,,,,,,,2.51,,,,,,,,,,,2.49,,,,,,,,,,1.16,1.16,1.16,1.16,,,,,
10Marla_GF_FP_003_V01.png,10Marla,GF,FP,003,V01,849,1570,1227944,2275,,2,1,1.0,1.0,,1,1,,1.0,1.0,1.0,,1.0,,,,,9,,,75.93,172.77,146.41,248.99,,405.89,98.06,,219.85,68.61,287.23,,349.23,,,,,22.85,,,43.42,32.51,,,172.77,,,146.41,248.99,,,,,405.89,,98.06,,,219.85,,68.61,,287.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.23,,,,,,,,,,,,,,,,,,,5.55,,,,,,,,,,,3.0,,,,,,,,,,2.98,2.95,2.49,1.47,1.47,1.47,1.47,,
10Marla_GF_FP_003_V02.png,10Marla,GF,FP,003,V02,849,1570,1227944,2275,,2,1,1.0,1.0,,1,1,,1.0,1.0,1.0,,1.0,,,,,9,,,75.93,172.77,146.41,248.99,,405.89,98.06,,219.85,68.61,287.23,,349.23,,,,,22.85,,,43.42,32.51,,,172.77,,,146.41,248.99,,,,,405.89,,98.06,,,219.85,,68.61,,287.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.23,,,,,,,,,,,,,,,,,,,5.55,,,,,,,,,,,3.0,,,,,,,,,,2.98,2.95,2.49,1.47,1.47,1.47,1.47,,
10Marla_GF_FP_003_V03.png,10Marla,GF,FP,003,V03,849,1570,1227944,2275,,2,1,1.0,1.0,,1,1,,1.0,1.0,1.0,,1.0,,,,,9,,,75.93,172.77,146.41,248.99,,405.89,98.06,,219.85,68.61,287.23,,349.23,,,,,22.85,,,43.42,32.51,,,172.77,,,146.41,248.99,,,,,405.89,,98.06,,,219.85,,68.61,,287.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.23,,,,,,,,,,,,,,,,,,,5.55,,,,,,,,,,,3.0,,,,,,,,,,2.98,2.95,2.49,1.47,1.47,1.47,1.47,,
10Marla_GF_FP_003_V04.png,10Marla,GF,FP,003,V04,849,1570,1227944,2275,,2,1,1.0,1.0,,1,1,,1.0,1.0,1.0,,1.0,,,,,9,,,75.93,172.77,146.41,248.99,,405.89,98.06,,219.85,68.61,287.23,,349.23,,,,,22.85,,,43.42,32.51,,,172.77,,,146.41,248.99,,,,,405.89,,98.06,,,219.85,,68.61,,287.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.23,,,,,,,,,,,,,,,,,,,5.55,,,,,,,,,,,3.0,,,,,,,,,,2.98,2.95,2.49,1.47,1.47,1.47,1.47,,
10Marla_GF_FP_004_V01.png,10Marla,GF,FP,004,V01,849,1570,1201951,2275,,3,2,1.0,1.0,,1,1,,,,1.0,70.0,,,,,,25,,,137.39,341.3,182.31,200.13,,484.38,115.96,,,,493.89,40.55,,,,,,55.53,,,71.94,33.38,32.07,,171.62,169.68,,182.31,200.13,,,,,484.38,,115.96,,,,,,,493.89,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.83,0.83,0.82,0.82,0.77,0.75,0.71,0.84,0.7,0.7,0.69,0.68,0.68,0.63,0.61,0.59,0.58,0.57,0.84,0.57,0.57,0.56,0.55,0.55,0.49,0.48,0.43,0.43,0.42,0.84,0.41,0.41,0.36,0.34,0.29,0.27,0.25,0.22,0.22,0.22,0.84,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.18,0.15,0.84,0.14,0.84,0.84,0.84,,,,,,,,,,2.39,2.39,2.39,2.39,2.39,2.39,2.37,2.14,1.84,1.33,5.44,1.26,1.26,1.17,1.16,1.16,1.16,,,,,2.72,,,,,,,,,,2.72,2.59,2.59,2.59,2.59,2.58,2.51,,
10Marla_GF_FP_004_V02.png,10Marla,GF,FP,004,V02,849,1570,1201951,2275,,3,2,1.0,1.0,,1,1,,,,1.0,70.0,,,,,,25,,,137.39,341.3,182.31,200.13,,484.38,115.96,,,,493.89,40.55,,,,,,55.53,,,71.94,33.38,32.07,,171.62,169.68,,182.31,200.13,,,,,484.38,,115.96,,,,,,,493.89,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.83,0.83,0.82,0.82,0.77,0.75,0.71,0.84,0.7,0.7,0.69,0.68,0.68,0.63,0.61,0.59,0.58,0.57,0.84,0.57,0.57,0.56,0.55,0.55,0.49,0.48,0.43,0.43,0.42,0.84,0.41,0.41,0.36,0.34,0.29,0.27,0.25,0.22,0.22,0.22,0.84,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.18,0.15,0.84,0.14,0.84,0.84,0.84,,,,,,,,,,2.39,2.39,2.39,2.39,2.39,2.39,2.37,2.14,1.84,1.33,5.44,1.26,1.26,1.17,1.16,1.16,1.16,,,,,2.72,,,,,,,,,,2.72,2.59,2.59,2.59,2.59,2.58,2.51,,
10Marla_GF_FP_004_V03.png,10Marla,GF,FP,004,V03,849,1570,1201951,2275,,3,2,1.0,1.0,,1,1,,,,1.0,70.0,,,,,,25,,,137.39,341.3,182.31,200.13,,484.38,115.96,,,,493.89,40.55,,,,,,55.53,,,71.94,33.38,32.07,,171.62,169.68,,182.31,200.13,,,,,484.38,,115.96,,,,,,,493.89,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.83,0.83,0.82,0.82,0.77,0.75,0.71,0.84,0.7,0.7,0.69,0.68,0.68,0.63,0.61,0.59,0.58,0.57,0.84,0.57,0.57,0.56,0.55,0.55,0.49,0.48,0.43,0.43,0.42,0.84,0.41,0.41,0.36,0.34,0.29,0.27,0.25,0.22,0.22,0.22,0.84,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.18,0.15,0.84,0.14,0.84,0.84,0.84,,,,,,,,,,2.39,2.39,2.39,2.39,2.39,2.39,2.37,2.14,1.84,1.33,5.44,1.26,1.26,1.17,1.16,1.16,1.16,,,,,2.72,,,,,,,,,,2.72,2.59,2.59,2.59,2.59,2.58,2.51,,
10Marla_GF_FP_004_V04.png,10Marla,GF,FP,004,V04,849,1570,1201951,2275,,3,2,1.0,1.0,,1,1,,,,1.0,70.0,,,,,,25,,,137.39,341.3,182.31,200.13,,484.38,115.96,,,,493.89,40.55,,,,,,55.53,,,71.94,33.38,32.07,,171.62,169.68,,182.31,200.13,,,,,484.38,,115.96,,,,,,,493.89,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.83,0.83,0.82,0.82,0.77,0.75,0.71,0.84,0.7,0.7,0.69,0.68,0.68,0.63,0.61,0.59,0.58,0.57,0.84,0.57,0.57,0.56,0.55,0.55,0.49,0.48,0.43,0.43,0.42,0.84,0.41,0.41,0.36,0.34,0.29,0.27,0.25,0.22,0.22,0.22,0.84,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.18,0.15,0.84,0.14,0.84,0.84,0.84,,,,,,,,,,2.39,2.39,2.39,2.39,2.39,2.39,2.37,2.14,1.84,1.33,5.44,1.26,1.26,1.17,1.16,1.16,1.16,,,,,2.72,,,,,,,,,,2.72,2.59,2.59,2.59,2.59,2.58,2.51,,
10Marla_GF_FP_005_V01.png,10Marla,GF,FP,005,V01,849,1570,1220185,2275,,2,2,1.0,1.0,,1,1,,1.0,1.0,1.0,,1.0,,,,,19,,,80.19,256.84,41.2,242.91,,289.51,106.01,,143.54,146.98,429.44,,298.62,,,,,47.33,,,43.22,36.97,,,130.14,126.7,,41.2,242.91,,,,,289.51,,106.01,,,143.54,,146.98,,429.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.62,,,,,,,,,2.3,2.3,2.18,2.17,1.37,1.37,1.37,1.37,1.13,1.13,9.27,,,,,,,,,,,2.8,,,,,,,,,,2.8,2.8,2.8,2.8,2.78,2.3,2.3,,
10Marla_GF_FP_005_V02.png,10Marla,GF,FP,005,V02,849,1570,1220185,2275,,2,2,1.0,1.0,,1,1,,1.0,1.0,1.0,,1.0,,,,,19,,,80.19,256.84,41.2,242.91,,289.51,106.01,,143.54,146.98,429.44,,298.62,,,,,47.33,,,43.22,36.97,,,130.14,126.7,,41.2,242.91,,,,,289.51,,106.01,,,143.54,,146.98,,429.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.62,,,,,,,,,2.3,2.3,2.18,2.17,1.37,1.37,1.37,1.37,1.13,1.13,9.27,,,,,,,,,,,2.8,,,,,,,,,,2.8,2.8,2.8,2.8,2.78,2.3,2.3,,
10Marla_GF_FP_005_V03.png,10Marla,GF,FP,005,V03,849,1570,1220185,2275,,2,2,1.0,1.0,,1,1,,1.0,1.0,1.0,,1.0,,,,,19,,,80.19,256.84,41.2,242.91,,289.51,106.01,,143.54,146.98,429.44,,298.62,,,,,47.33,,,43.22,36.97,,,130.14,126.7,,41.2,242.91,,,,,289.51,,106.01,,,143.54,,146.98,,429.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.62,,,,,,,,,2.3,2.3,2.18,2.17,1.37,1.37,1.37,1.37,1.13,1.13,9.27,,,,,,,,,,,2.8,,,,,,,,,,2.8,2.8,2.8,2.8,2.78,2.3,2.3,,
