FileName,PlotType,FloorLevel,PlanType,FP_Number,Version,ImageActualWidthPx,ImageActualHeightPx,PlotPhysicalAreaSqFt,AreaPerPixelSqFt,OverallTotalCountedPixels,OverallTotalCountedSqFt,Count_Backyard,Count_Bathroom,Count_Bedroom,Count_Dining,Count_DrawingRoom,Count_DressingArea,Count_Garage,Count_Kitchen,Count_Laundry,Count_Lawn,Count_Lobby,Count_Lounge,Count_OpenSpace,Count_Passage,Count_PrayerRoom,Count_ServantQuarter,Count_SideGarden,Count_Staircase,Count_Stairs,Count_Store,TotalPx_Backyard,TotalPx_Bathroom,TotalPx_Bedroom,TotalPx_Dining,TotalPx_DrawingRoom,TotalPx_DressingArea,TotalPx_Garage,TotalPx_Kitchen,TotalPx_Laundry,TotalPx_Lawn,TotalPx_Lobby,TotalPx_Lounge,TotalPx_OpenSpace,TotalPx_Passage,TotalPx_PrayerRoom,TotalPx_ServantQuarter,TotalPx_SideGarden,TotalPx_Staircase,TotalPx_Stairs,TotalPx_Store,TotalSqFt_Backyard,TotalSqFt_Bathroom,TotalSqFt_Bedroom,TotalSqFt_Dining,TotalSqFt_DrawingRoom,TotalSqFt_DressingArea,TotalSqFt_Garage,TotalSqFt_Kitchen,TotalSqFt_Laundry,TotalSqFt_Lawn,TotalSqFt_Lobby,TotalSqFt_Lounge,TotalSqFt_OpenSpace,TotalSqFt_Passage,TotalSqFt_PrayerRoom,TotalSqFt_ServantQuarter,TotalSqFt_SideGarden,TotalSqFt_Staircase,TotalSqFt_Stairs,TotalSqFt_Store,Backyard1_Px,Backyard1_SqFt,Bathroom1_Px,Bathroom1_SqFt,Bathroom2_Px,Bathroom2_SqFt,Bathroom3_Px,Bathroom3_SqFt,Bathroom4_Px,Bathroom4_SqFt,Bedroom1_Px,Bedroom1_SqFt,Bedroom2_Px,Bedroom2_SqFt,Bedroom3_Px,Bedroom3_SqFt,Dining1_Px,Dining1_SqFt,DrawingRoom1_Px,DrawingRoom1_SqFt,DressingArea1_Px,DressingArea1_SqFt,DressingArea2_Px,DressingArea2_SqFt,DressingArea3_Px,DressingArea3_SqFt,Garage1_Px,Garage1_SqFt,Kitchen1_Px,Kitchen1_SqFt,Laundry1_Px,Laundry1_SqFt,Lawn1_Px,Lawn1_SqFt,Lobby1_Px,Lobby1_SqFt,Lobby2_Px,Lobby2_SqFt,Lounge1_Px,Lounge1_SqFt,OpenSpace1_Px,OpenSpace1_SqFt,OpenSpace2_Px,OpenSpace2_SqFt,OpenSpace3_Px,OpenSpace3_SqFt,OpenSpace4_Px,OpenSpace4_SqFt,OpenSpace5_Px,OpenSpace5_SqFt,Passage1_Px,Passage1_SqFt,Passage2_Px,Passage2_SqFt,PrayerRoom1_Px,PrayerRoom1_SqFt,ServantQuarter1_Px,ServantQuarter1_SqFt,SideGarden1_Px,SideGarden1_SqFt,Staircase1_Px,Staircase1_SqFt,Staircase2_Px,Staircase2_SqFt,Stairs1_Px,Stairs1_SqFt,Stairs2_Px,Stairs2_SqFt,Stairs3_Px,Stairs3_SqFt,Stairs4_Px,Stairs4_SqFt,Stairs5_Px,Stairs5_SqFt,Store1_Px,Store1_SqFt
10Marla_GF_FP_001_V01.png,10Marla,GF,FP,1,V01,512,927,2275,0.00479327,435330,2086.65,,2,1,,1,,1,1,,1,1,1,,2,,,,,17,,,22307,55376,,39531,,76622,34926,,47528,14006,78382,,60591,,,,,6061,,,106.92,265.43,,189.48,,367.27,167.41,,227.81,67.13,375.71,,290.43,,,,,29.05,,,,15566,74.61,6741,32.31,,,,,55376,265.43,,,,,,,39531,189.48,,,,,,,76622,367.27,34926,167.41,,,47528,227.81,14006,67.13,,,78382,375.71,,,,,,,,,,,60402,289.52,189,0.91,,,,,,,,,,,752,3.6,531,2.55,451,2.16,451,2.16,451,2.16,,
10Marla_GF_FP_001_V02.png,10Marla,GF,FP,1,V02,512,927,2275,0.00479327,435330,2086.65,,2,1,,1,,1,1,,1,1,1,,2,,,,,17,,,22307,55376,,39531,,76622,34926,,47528,14006,78382,,60591,,,,,6061,,,106.92,265.43,,189.48,,367.27,167.41,,227.81,67.13,375.71,,290.43,,,,,29.05,,,,15566,74.61,6741,32.31,,,,,55376,265.43,,,,,,,39531,189.48,,,,,,,76622,367.27,34926,167.41,,,47528,227.81,14006,67.13,,,78382,375.71,,,,,,,,,,,60402,289.52,189,0.91,,,,,,,,,,,752,3.6,531,2.55,451,2.16,451,2.16,451,2.16,,
10Marla_GF_FP_001_V03.png,10Marla,GF,FP,1,V03,512,927,2275,0.00479327,435331,2086.66,,2,1,,1,,1,1,,1,1,1,,2,,,,,17,,,22307,55376,,39531,,76622,34926,,47528,14006,78382,,60592,,,,,6061,,,106.92,265.43,,189.48,,367.27,167.41,,227.81,67.13,375.71,,290.43,,,,,29.05,,,,15566,74.61,6741,32.31,,,,,55376,265.43,,,,,,,39531,189.48,,,,,,,76622,367.27,34926,167.41,,,47528,227.81,14006,67.13,,,78382,375.71,,,,,,,,,,,60403,289.53,189,0.91,,,,,,,,,,,752,3.6,531,2.55,451,2.16,451,2.16,451,2.16,,
10Marla_GF_FP_001_V04.png,10Marla,GF,FP,1,V04,512,927,2275,0.00479327,435331,2086.66,,2,1,,1,,1,1,,1,1,1,,2,,,,,17,,,22307,55376,,39531,,76622,34926,,47528,14006,78382,,60592,,,,,6061,,,106.92,265.43,,189.48,,367.27,167.41,,227.81,67.13,375.71,,290.43,,,,,29.05,,,,15566,74.61,6741,32.31,,,,,55376,265.43,,,,,,,39531,189.48,,,,,,,76622,367.27,34926,167.41,,,47528,227.81,14006,67.13,,,78382,375.71,,,,,,,,,,,60403,289.53,189,0.91,,,,,,,,,,,752,3.6,531,2.55,451,2.16,451,2.16,451,2.16,,
10Marla_GF_FP_002_V01.png,10Marla,GF,FP,2,V01,512,927,2275,0.00479327,434094,2080.73,,3,2,,1,,1,1,,,1,1,,1,,,,,6,,,32064,73342,,47294,,97275,19024,,,23216,69529,,70475,,,,,1875,,,153.69,351.55,,226.69,,466.27,91.19,,,111.28,333.27,,337.81,,,,,8.99,,,,12090,57.95,11652,55.85,8322,39.89,,,49446,237.01,23896,114.54,,,,,47294,226.69,,,,,,,97275,466.27,19024,91.19,,,,,23216,111.28,,,69529,333.27,,,,,,,,,,,70475,337.81,,,,,,,,,,,,,492,2.36,486,2.33,240,1.15,228,1.09,220,1.05,,
10Marla_GF_FP_002_V02.png,10Marla,GF,FP,2,V02,512,927,2275,0.00479327,434094,2080.73,,3,2,,1,,1,1,,,1,1,,1,,,,,6,,,32064,73342,,47294,,97275,19024,,,23216,69529,,70475,,,,,1875,,,153.69,351.55,,226.69,,466.27,91.19,,,111.28,333.27,,337.81,,,,,8.99,,,,12090,57.95,11652,55.85,8322,39.89,,,49446,237.01,23896,114.54,,,,,47294,226.69,,,,,,,97275,466.27,19024,91.19,,,,,23216,111.28,,,69529,333.27,,,,,,,,,,,70475,337.81,,,,,,,,,,,,,492,2.36,486,2.33,240,1.15,228,1.09,220,1.05,,
10Marla_GF_FP_002_V03.png,10Marla,GF,FP,2,V03,512,927,2275,0.00479327,434094,2080.73,,3,2,,1,,1,1,,,1,1,,1,,,,,6,,,32064,73342,,47294,,97275,19024,,,23216,69529,,70475,,,,,1875,,,153.69,351.55,,226.69,,466.27,91.19,,,111.28,333.27,,337.81,,,,,8.99,,,,12090,57.95,11652,55.85,8322,39.89,,,49446,237.01,23896,114.54,,,,,47294,226.69,,,,,,,97275,466.27,19024,91.19,,,,,23216,111.28,,,69529,333.27,,,,,,,,,,,70475,337.81,,,,,,,,,,,,,492,2.36,486,2.33,240,1.15,228,1.09,220,1.05,,
10Marla_GF_FP_002_V04.png,10Marla,GF,FP,2,V04,512,927,2275,0.00479327,434094,2080.73,,3,2,,1,,1,1,,,1,1,,1,,,,,6,,,32064,73342,,47294,,97275,19024,,,23216,69529,,70475,,,,,1875,,,153.69,351.55,,226.69,,466.27,91.19,,,111.28,333.27,,337.81,,,,,8.99,,,,12090,57.95,11652,55.85,8322,39.89,,,49446,237.01,23896,114.54,,,,,47294,226.69,,,,,,,97275,466.27,19024,91.19,,,,,23216,111.28,,,69529,333.27,,,,,,,,,,,70475,337.81,,,,,,,,,,,,,492,2.36,486,2.33,240,1.15,228,1.09,220,1.05,,
10Marla_GF_FP_003_V01.png,10Marla,GF,FP,3,V01,512,927,2275,0.00479327,436876,2094.06,,2,1,1,1,,1,1,,1,1,1,,1,,,,,9,,,16145,36170,30660,51924,,84197,20648,,45746,14322,59964,,72500,,,,,4600,,,77.39,173.37,146.96,248.89,,403.58,98.97,,219.27,68.65,287.42,,347.51,,,,,22.05,,,,9179,44,6966,33.39,,,,,36170,173.37,,,,,30660,146.96,51924,248.89,,,,,,,84197,403.58,20648,98.97,,,45746,219.27,14322,68.65,,,59964,287.42,,,,,,,,,,,72500,347.51,,,,,,,,,,,,,1088,5.22,624,2.99,616,2.95,577,2.77,495,2.37,,
10Marla_GF_FP_003_V02.png,10Marla,GF,FP,3,V02,512,927,2275,0.00479327,436876,2094.06,,2,1,1,1,,1,1,,1,1,1,,1,,,,,9,,,16145,36170,30660,51924,,84197,20648,,45746,14322,59964,,72500,,,,,4600,,,77.39,173.37,146.96,248.89,,403.58,98.97,,219.27,68.65,287.42,,347.51,,,,,22.05,,,,9179,44,6966,33.39,,,,,36170,173.37,,,,,30660,146.96,51924,248.89,,,,,,,84197,403.58,20648,98.97,,,45746,219.27,14322,68.65,,,59964,287.42,,,,,,,,,,,72500,347.51,,,,,,,,,,,,,1088,5.22,624,2.99,616,2.95,577,2.77,495,2.37,,
